X Coordinate, Y Coordinate, Z Coordinate
1616.8195,235.1082,0.0000,
1617.4476,235.1082,-0.0132,
1616.8195,1166.8218,0.0000,
1617.4476,235.1082,-0.0132,
1617.4738,1166.8218,-0.0143,
1616.8195,1166.8218,0.0000,
1617.4476,235.1082,-0.0132,
1617.4738,235.1082,-0.0143,
1617.4738,1166.8218,-0.0143,
1617.4738,235.1082,-0.0143,
1618.0747,235.1082,-0.0526,
1617.4738,1166.8218,-0.0143,
1617.4738,1166.8218,-0.0143,
1618.0747,235.1082,-0.0526,
1618.1267,1166.8218,-0.0571,
1618.0747,235.1082,-0.0526,
1618.1267,235.1082,-0.0571,
1618.1267,1166.8218,-0.0571,
1618.1267,235.1082,-0.0571,
1618.6995,235.1082,-0.1183,
1618.1267,1166.8218,-0.0571,
1618.1267,1166.8218,-0.0571,
1618.6995,235.1082,-0.1183,
1618.7773,1166.8218,-0.1283,
1618.6995,235.1082,-0.1183,
1618.7773,235.1082,-0.1283,
1618.7773,1166.8218,-0.1283,
1618.7773,235.1082,-0.1283,
1619.3210,235.1082,-0.2101,
1618.7773,1166.8218,-0.1283,
1618.7773,1166.8218,-0.1283,
1619.3210,235.1082,-0.2101,
1619.4242,1166.8218,-0.2279,
1619.3210,235.1082,-0.2101,
1619.4242,235.1082,-0.2279,
1619.4242,1166.8218,-0.2279,
1619.4242,235.1082,-0.2279,
1619.9381,235.1082,-0.3278,
1619.4242,1166.8218,-0.2279,
1619.4242,1166.8218,-0.2279,
1619.9381,235.1082,-0.3278,
1620.0660,1166.8218,-0.3556,
1619.9381,235.1082,-0.3278,
1620.0660,235.1082,-0.3556,
1620.0660,1166.8218,-0.3556,
1620.0660,235.1082,-0.3556,
1620.5498,235.1082,-0.4713,
1620.0660,1166.8218,-0.3556,
1620.0660,1166.8218,-0.3556,
1620.5498,235.1082,-0.4713,
1620.7018,1166.8218,-0.5111,
1620.5498,235.1082,-0.4713,
1620.7018,235.1082,-0.5111,
1620.7018,1166.8218,-0.5111,
1620.7018,235.1082,-0.5111,
1621.1549,235.1082,-0.6402,
1620.7018,1166.8218,-0.5111,
1620.7018,1166.8218,-0.5111,
1621.1549,235.1082,-0.6402,
1621.3301,1166.8218,-0.6942,
1621.1549,235.1082,-0.6402,
1621.3301,235.1082,-0.6942,
1621.3301,1166.8218,-0.6942,
1621.3301,235.1082,-0.6942,
1621.7524,235.1082,-0.8344,
1621.3301,1166.8218,-0.6942,
1621.3301,1166.8218,-0.6942,
1621.7524,235.1082,-0.8344,
1621.9498,1166.8218,-0.9046,
1621.7524,235.1082,-0.8344,
1621.9498,235.1082,-0.9046,
1621.9498,1166.8218,-0.9046,
1621.9498,235.1082,-0.9046,
1622.3413,235.1082,-1.0534,
1621.9498,1166.8218,-0.9046,
1621.9498,1166.8218,-0.9046,
1622.3413,235.1082,-1.0534,
1622.5597,1166.8218,-1.1418,
1622.3413,235.1082,-1.0534,
1622.5597,235.1082,-1.1418,
1622.5597,1166.8218,-1.1418,
1622.5597,235.1082,-1.1418,
1622.9205,235.1082,-1.2968,
1622.5597,1166.8218,-1.1418,
1622.5597,1166.8218,-1.1418,
1622.9205,235.1082,-1.2968,
1623.1587,1166.8218,-1.4054,
1622.9205,235.1082,-1.2968,
1623.1587,235.1082,-1.4054,
1623.1587,1166.8218,-1.4054,
1623.1587,235.1082,-1.4054,
1623.4890,235.1082,-1.5643,
1623.1587,1166.8218,-1.4054,
1623.1587,1166.8218,-1.4054,
1623.4890,235.1082,-1.5643,
1623.7457,1166.8218,-1.6948,
1623.4890,235.1082,-1.5643,
1623.7457,235.1082,-1.6948,
1623.7457,1166.8218,-1.6948,
1623.7457,235.1082,-1.6948,
1624.0458,235.1082,-1.8554,
1623.7457,1166.8218,-1.6948,
1623.7457,1166.8218,-1.6948,
1624.0458,235.1082,-1.8554,
1624.3195,1166.8218,-2.0096,
1624.0458,235.1082,-1.8554,
1624.3195,235.1082,-2.0096,
1624.3195,1166.8218,-2.0096,
1624.3195,1166.8218,-2.0096,
1624.3195,235.1082,-2.0096,
1624.8789,1166.8218,-2.3491,
1624.3195,235.1082,-2.0096,
1624.5898,235.1082,-2.1695,
1624.8789,1166.8218,-2.3491,
1624.5898,235.1082,-2.1695,
1624.8789,235.1082,-2.3491,
1624.8789,1166.8218,-2.3491,
1624.8789,1166.8218,-2.3491,
1624.8789,235.1082,-2.3491,
1625.4231,1166.8218,-2.7127,
1624.8789,235.1082,-2.3491,
1625.1202,235.1082,-2.5062,
1625.4231,1166.8218,-2.7127,
1625.1202,235.1082,-2.5062,
1625.4231,235.1082,-2.7127,
1625.4231,1166.8218,-2.7127,
1625.4231,1166.8218,-2.7127,
1625.4231,235.1082,-2.7127,
1625.9508,1166.8218,-3.0997,
1625.4231,235.1082,-2.7127,
1625.6362,235.1082,-2.8647,
1625.9508,1166.8218,-3.0997,
1625.6362,235.1082,-2.8647,
1625.9508,235.1082,-3.0997,
1625.9508,1166.8218,-3.0997,
1625.9508,1166.8218,-3.0997,
1625.9508,235.1082,-3.0997,
1626.4613,1166.8218,-3.5093,
1625.9508,235.1082,-3.0997,
1626.1367,235.1082,-3.2446,
1626.4613,1166.8218,-3.5093,
1626.1367,235.1082,-3.2446,
1626.4613,235.1082,-3.5093,
1626.4613,1166.8218,-3.5093,
1626.4613,1166.8218,-3.5093,
1626.4613,235.1082,-3.5093,
1626.9532,1166.8218,-3.9408,
1626.4613,235.1082,-3.5093,
1626.6207,235.1082,-3.6451,
1626.9532,1166.8218,-3.9408,
1626.6207,235.1082,-3.6451,
1626.9532,235.1082,-3.9408,
1626.9532,1166.8218,-3.9408,
1626.9532,1166.8218,-3.9408,
1626.9532,235.1082,-3.9408,
1627.4260,1166.8218,-4.3934,
1626.9532,235.1082,-3.9408,
1627.0878,235.1082,-4.0655,
1627.4260,1166.8218,-4.3934,
1627.0878,235.1082,-4.0655,
1627.4260,235.1082,-4.3934,
1627.4260,1166.8218,-4.3934,
1627.4260,1166.8218,-4.3934,
1627.4260,235.1082,-4.3934,
1627.8787,1166.8218,-4.8661,
1627.4260,235.1082,-4.3934,
1627.5365,235.1082,-4.5050,
1627.8787,1166.8218,-4.8661,
1627.5365,235.1082,-4.5050,
1627.8787,235.1082,-4.8661,
1627.8787,1166.8218,-4.8661,
1627.8787,1166.8218,-4.8661,
1627.8787,235.1082,-4.8661,
1628.3101,1166.8218,-5.3582,
1627.8787,235.1082,-4.8661,
1627.9667,235.1082,-4.9630,
1628.3101,1166.8218,-5.3582,
1627.9667,235.1082,-4.9630,
1628.3101,235.1082,-5.3582,
1628.3101,1166.8218,-5.3582,
1628.3101,1166.8218,-5.3582,
1628.3101,235.1082,-5.3582,
1628.7197,1166.8218,-5.8686,
1628.3101,235.1082,-5.3582,
1628.3772,235.1082,-5.4386,
1628.7197,1166.8218,-5.8686,
